date,club,caller,cuer,remarks,start,end,caller,cuer,price,levels
2026-11-03,Peppy.jpeg,DonBoyer.jpg,,,07:00 PM,09:00 PM,,,,p
2026-11-29,Peppy.jpeg,CurtBraffet.webp,,50th anniversary,04:00 PM,06:30 PM,,,,
2026-12-01,Peppy.jpeg,DonBoyer.jpg,,,07:00 PM,09:00 PM,,,,p
2026-12-31,Peppy.jpeg,DonBoyer.jpg,,,09:00 PM,12:05 AM,,,,
2026-03-18,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
2026-03-25,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
2026-04-01,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
2026-04-08,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
2026-04-15,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
2026-04-22,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
2026-04-29,QC_Cloggers.jpg,robinson.jpg,,,,,,,,
