,documenting columns,,,,,club icon,geo,directions,caller photo,cuer photo,contact,cost
*,GGG,mr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Kevin Bersing / Ed & Pat Schneiders,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,Schneiders.jpg,,Guests $10
,saT,,25 oct,,,,,,,,,
*,Ankeny Squares,ML,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Chuck Veldhuizen / JCM Lines,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,,JCM.jpg,,
,saT,,8 nov,,,,,,,,,
*,Ankeny Squares,MR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Tom Manning / Carla Peck,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,manning.png,CarlaPeck.jpg,,
,FRIDAY,,14 nov,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Connie Graham  &  Wilma Randall,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,ConnieGraham.jpg,,,Guests $10
,SATURDAY,,22 nov,,,,,,,,,
*,Ankeny Squares,MR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Gary Smith / Ed & Pat Schneiders,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,GarySmith.jpg,Schneiders.jpg,,
,FRIDAY,,12 dec,,,,,,,,,
*,GGG,mpL,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Don Boyer / JCM Lines,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,JCM.jpg,,Guests $10
,saT,,13 dec,,,,,,,,,
*,Ankeny Squares,ML,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Doug McCart / JCM Lines,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,DougMcCart.webp,JCM.jpg,,
,FRIDAY,,9 jan 2026,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Barry Peck / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,BarryPeck.jpg,CarlaPeck.jpg,,Guests $10
,FRIDAY,,23 jan,,,,,,,,,
*,GGG,MR,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Jack O’Leary / Ed & Pat Schneiders,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,Schneiders.jpg,,Guests $10
,FRIDAY,,13 feb,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Don & Doug Sprosty,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,sprosty.jpg,,,Guests $10
,FRIDAY,,27 feb,,,,,,,,,
*,GGG,MR,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Gary Smith / Gary Smith,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,GarySmith.jpg,GarySmith.jpg,,Guests $10
,FRIDAY,,27 mar,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Doug McCart / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,DougMcCart.webp,CarlaPeck.jpg,,Guests $10
,FRIDAY,,10 apr,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Mike Hogan / Amy Swift,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,hogan.jpg,AmySwift.jpg,,Guests $10
,FRIDAY,,24 apr,,,,,,,,,
*,GGG,mp,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Tom Manning /  JCM – line dance,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,manning.png,JCM.jpg,,Guests $10
,FRIDAY,,8 may,,,,,,,,,
*,GGG,mpr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Brian Freed / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,CarlaPeck.jpg,,Guests $10
